Library name,Version,License name
"nrepl","0.8.3","Eclipse Public License"
"org.clojure/clojure","1.10.0-alpha8","Eclipse Public License 1.0"
"org.clojure/core.async","0.4.474","Eclipse Public License 1.0"
"org.clojure/core.cache","0.6.5","Eclipse Public License 1.0"
"org.clojure/core.memoize","0.5.9","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.44","Eclipse Public License 1.0"
"org.clojure/data.priority-map","0.0.7","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.2.176","Eclipse Public License 1.0"
"org.clojure/tools.analyzer","0.6.9","Eclipse Public License 1.0"
"org.clojure/tools.analyzer.jvm","0.7.0","Eclipse Public License 1.0"
"org.clojure/tools.reader","1.0.0-beta4","Eclipse Public License 1.0"
"org.nrepl/incomplete","0.1.0","EPL-2.0 OR GPL-2.0-or-later WITH Classpath-exception-2.0"
"org.ow2.asm/asm-all","4.2","BSD"
