Library name,Version,License name
"org.clojure/clojure","1.11.4","Eclipse Public License 1.0"
"org.clojure/core.async","1.8.711-beta1","Eclipse Public License 1.0"
"org.clojure/core.cache","1.1.234","Eclipse Public License 1.0"
"org.clojure/core.memoize","1.1.266","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.62","Eclipse Public License 1.0"
"org.clojure/data.priority-map","1.2.0","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.3.218","Eclipse Public License 1.0"
"org.clojure/tools.analyzer","1.2.0","Eclipse Public License 1.0"
"org.clojure/tools.analyzer.jvm","1.3.2","Eclipse Public License 1.0"
"org.clojure/tools.reader","1.5.0","Eclipse Public License 1.0"
"org.ow2.asm/asm","9.2","BSD-3-Clause"
